#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2021 04 15 22 56  1.1  0.8 14.3  0.8  5.0 WSW   W      SWELL  6.9 247
2021 04 15 22 26  1.1  0.8 16.7  0.7  4.8  SW WSW      SWELL  7.1 219
2021 04 15 21 56  1.2  0.9 16.7  0.8  5.3  SW WSW      SWELL  7.9 222
2021 04 15 21 26  1.2  0.9 15.4  0.8  5.0 WSW WSW      SWELL  7.5 244
2021 04 15 20 56  1.2  0.8 15.4  0.8  7.7  SW   W      SWELL  7.4 236
2021 04 15 20 26  1.2  1.0 15.4  0.8  5.0  SW   W      SWELL  7.9 226
2021 04 15 19 56  1.2  0.9 14.3  0.8  5.6 WSW   W      SWELL  7.7 251
2021 04 15 19 26  1.1  0.9 16.7  0.7  5.0 SSW WSW      SWELL  7.7 206
2021 04 15 18 56  1.1  0.8 15.4  0.8  9.1  SW WNW      SWELL  7.6 236
2021 04 15 18 26  1.1  0.9 15.4  0.7  9.1  SW WNW      SWELL  7.7 224
2021 04 15 17 56  1.2  1.0 15.4  0.7  9.1  SW WNW      SWELL  8.2 236
2021 04 15 17 26  1.0  0.7 15.4  0.7  9.1 WSW WNW      SWELL  6.6 240
2021 04 15 16 56  1.1  0.7 15.4  0.8  5.0  SW WSW    AVERAGE  6.8 236
2021 04 15 16 26  1.1  0.8 16.7  0.8  8.3 SSW WNW      SWELL  6.8 199
2021 04 15 15 56  1.2  0.9 16.7  0.8  9.1 SSW WNW      SWELL  7.4 206
2021 04 15 15 26  1.1  0.7 16.7  0.8  5.9 SSW   W    AVERAGE  6.5 202
2021 04 15 14 56  1.2  0.8 15.4  0.9  9.9 WSW   W    AVERAGE  7.0 237
2021 04 15 14 26  1.1  0.7 15.4  0.8  4.8 SSW   W    AVERAGE  6.7 210
2021 04 15 13 56  1.2  0.8 16.7  0.9  5.6  SW   W    AVERAGE  7.3 219
2021 04 15 13 26  1.2  0.8 16.7  0.9  5.3 SSW   W    AVERAGE  7.0 213
2021 04 15 12 56  1.3  0.9 15.4  0.9  9.1 WSW   W      SWELL  7.2 247
2021 04 15 12 26  1.2  0.8 15.4  0.9  7.1  SW   W    AVERAGE  7.0 236
2021 04 15 11 56  1.2  0.9 16.7  0.9  5.0 SSW   W      SWELL  7.6 210
2021 04 15 11 26  1.2  0.8 14.3  0.9  7.1 WSW   W    AVERAGE  7.0 247
